year,prov,gdp,id,island,primary,secondary,tertiary,agri_gdp,constr_gdp,manuf_gdp,utilities_gdp,sec_gdp,tert_gdp,tsunami_aceh,aceh_northsumatra,tsunami_sumatra,log_cap_gr,tsunami_sumatra_alt,tsunami_sumatra_alternative,region,district_type,longitude,latitude,noncoastal,log_gr,tsunami_yrs,region2,tsunami_aceh1,tsunami_aceh2,tsunami_aceh3,tsunami_sumatra1,tsunami_sumatra2,tsunami_sumatra3,aceh_treat1,aceh_treat2,aceh_treat3,sumatra_treat1,sumatra_treat2,sumatra_treat3,non_tsunami_yrs,aceh_lead1,aceh_lead2,aceh_lead3,sumatra_lead1,sumatra_lead2,sumatra_lead3,sumatra_treat1_05,sumatra_treat1_06,sumatra_treat1_07,sumatra_treat1_08,sumatra_treat1_09,sumatra_treat1_10,sumatra_treat1_11,sumatra_treat1_12,aceh_treat1_05,aceh_treat1_06,aceh_treat1_07,aceh_treat1_08,aceh_treat1_09,aceh_treat1_10,aceh_treat1_11,aceh_treat1_12,sumatra_treat2_05,sumatra_treat2_06,sumatra_treat2_07,sumatra_treat2_08,sumatra_treat2_09,sumatra_treat2_10,sumatra_treat2_11,sumatra_treat2_12,aceh_treat2_05,aceh_treat2_06,aceh_treat2_07,aceh_treat2_08,aceh_treat2_09,aceh_treat2_10,aceh_treat2_11,aceh_treat2_12,sumatra_treat3_05,sumatra_treat3_06,sumatra_treat3_07,sumatra_treat3_08,sumatra_treat3_09,sumatra_treat3_10,sumatra_treat3_11,sumatra_treat3_12,aceh_treat3_05,aceh_treat3_06,aceh_treat3_07,aceh_treat3_08,aceh_treat3_09,aceh_treat3_10,aceh_treat3_11,aceh_treat3_12,sumatra_lead1_00,sumatra_lead1_01,sumatra_lead1_02,sumatra_lead1_03,sumatra_lead1_04,aceh_lead1_00,aceh_lead1_01,aceh_lead1_02,aceh_lead1_03,aceh_lead1_04,sumatra_lead2_00,sumatra_lead2_01,sumatra_lead2_02,sumatra_lead2_03,sumatra_lead2_04,aceh_lead2_00,aceh_lead2_01,aceh_lead2_02,aceh_lead2_03,aceh_lead2_04,sumatra_lead3_00,sumatra_lead3_01,sumatra_lead3_02,sumatra_lead3_03,sumatra_lead3_04,aceh_lead3_00,aceh_lead3_01,aceh_lead3_02,aceh_lead3_03,aceh_lead3_04,region_year
2000,Nanggroe Aceh Darussalam,70.541509625,2,Sumatra,24.299814,10.742066,35.49963,33.939117,12.962606,2.047879,.21752203,15.228007,50.324455,Tsunami stricken,1,Tsunami stricken,.036979888,0,,Aceh Barat,Kab,96.177872,4.4511399,0,-.042187423,0,1,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2000
2004,Nanggroe Aceh Darussalam,82.98241002,2,Sumatra,28.809076,11.914713,42.258621,34.205505,12.308723,1.8431855,.20621048,14.358119,50.924793,Tsunami stricken,1,Tsunami stricken,.079434544,0,.11111111,Aceh Barat,Kab,96.177872,4.4511399,0,.087210998,1,1,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2004
2005,Nanggroe Aceh Darussalam,72.06911939999999,2,Sumatra,20.614079,7.4267621,44.028278,28.209078,8.4072123,1.6627942,.23504829,10.305055,61.09174,Tsunami stricken,1,Tsunami stricken,-.073239334,1,.11111111,Aceh Barat,Kab,96.177872,4.4511399,0,-.14100301,1,1,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
2007,Nanggroe Aceh Darussalam,86.46265525,2,Sumatra,23.086367,10.605603,52.770687,26.163097,10.414723,1.5940951,.25728962,12.266109,61.032925,Tsunami stricken,1,Tsunami stricken,.080716394,0,.11111111,Aceh Barat,Kab,96.177872,4.4511399,0,.087325893,1,1,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
2007,Nanggroe Aceh Darussalam,47.254155375,1,Sumatra,21.168879,6.9956312,19.089649,44.139374,10.310282,4.2956896,.19829586,14.804267,40.39782,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.019457808,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.035286997,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4014
1999,Nanggroe Aceh Darussalam,40.59674126295793,1,Sumatra,,,,,,,,,,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,,0,,Aceh Barat Daya,Kab,96.913437,3.78754,0,,0,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3998
2008,Nanggroe Aceh Darussalam,49.85669208,1,Sumatra,21.551899,7.3745389,20.930256,42.58321,10.418964,4.1712198,.20128833,14.791472,41.980835,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.038890257,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.053612139,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4016
2009,Nanggroe Aceh Darussalam,52.07,1,Sumatra,21.976,7.8277202,22.264641,41.568504,10.705512,4.1118112,.21574803,15.033072,42.759056,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.029624812,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.043436237,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018
2003,Nanggroe Aceh Darussalam,41.02283864,1,Sumatra,19.262175,6.1632586,15.597405,46.312717,10.491014,4.3351374,.1978178,15.023969,38.021275,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.0026389239,0,,Aceh Barat Daya,Kab,96.913437,3.78754,0,.020162195,0,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
2004,Nanggroe Aceh Darussalam,42.25580868,1,Sumatra,19.914522,6.2493691,16.091919,46.487274,10.332665,4.2610407,.19566682,14.789373,38.082146,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.012391403,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.029612876,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4008
2011,Nanggroe Aceh Darussalam,57.40492,1,Sumatra,23.34868,8.8002396,25.25436,40.055138,11.120476,3.9896581,.21998115,15.330113,43.993374,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.023460314,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.0495461,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022
2006,Nanggroe Aceh Darussalam,45.615774875,1,Sumatra,20.876858,6.6190553,18.119862,45.122028,10.137796,4.1806793,.19197722,14.510452,39.722797,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.034554917,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.051072933,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4012
2005,Nanggroe Aceh Darussalam,43.34453662000001,1,Sumatra,20.414606,6.3044977,16.625431,46.449276,10.190771,4.1645417,.18976833,14.54508,38.356464,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.0087728342,,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.025438838,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4010
2001,Nanggroe Aceh Darussalam,39.554919125,1,Sumatra,18.268595,6.1612086,15.125116,45.552685,10.934782,4.4395022,.20205562,15.57634,38.23827,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.0013335535,0,,Aceh Barat Daya,Kab,96.913437,3.78754,0,.016189687,0,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002
2012,Nanggroe Aceh Darussalam,60.43072,1,Sumatra,24.240841,9.33078,26.85828,39.504181,11.293693,3.9255862,.2211789,15.440458,44.444748,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.038159683,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.05136757,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024
2000,Nanggroe Aceh Darussalam,38.9196933125,1,Sumatra,17.811434,6.1702981,14.937963,45.133076,11.113254,4.5417233,.19894639,15.853923,38.381504,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.059710644,0,,Aceh Barat Daya,Kab,96.913437,3.78754,0,-.042187423,0,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
2010,Nanggroe Aceh Darussalam,54.63004,1,Sumatra,22.576241,8.2967596,23.75622,40.696766,10.909309,4.0602202,.21764582,15.187175,43.485634,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.038244005,0,0,Aceh Barat Daya,Kab,96.913437,3.78754,0,.047994949,1,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020
2002,Nanggroe Aceh Darussalam,40.204010625,1,Sumatra,18.723766,6.1405454,15.339701,45.933849,10.690879,4.3819733,.20061278,15.273465,38.154652,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.0012465895,0,,Aceh Barat Daya,Kab,96.913437,3.78754,0,.016276693,0,2,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
2004,Nanggroe Aceh Darussalam,139.8446901,3,Sumatra,54.339264,34.538586,50.966839,36.435261,10.371508,14.102345,.22396496,24.697817,36.445316,Tsunami stricken,1,Tsunami stricken,.029891094,0,.11111111,Aceh Besar,Kab,95.516121,5.3773599,0,.041123606,1,3,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6012
1999,Nanggroe Aceh Darussalam,119.4055986900841,3,Sumatra,,,,,,,,,,Tsunami stricken,1,Tsunami stricken,,0,,Aceh Besar,Kab,95.516121,5.3773599,0,,0,3,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5997
2001,Nanggroe Aceh Darussalam,116.5750335,3,Sumatra,50.030525,31.693527,34.850983,40.293133,10.688005,16.252527,.24670193,27.187235,29.895752,Tsunami stricken,1,Tsunami stricken,.020656236,0,,Aceh Besar,Kab,95.516121,5.3773599,0,.018196462,0,3,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,Tsunami stricken,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6003
